Schema item,Kind,Data type,Extends,Restricts,Abstract,Subst Group,Comment,Namespace
DurationEvaluation,global element,jdf:DurationEvaluation,,,,jdf:AbstractTerms,"",JDFCapability.xsd
DurationRange,global simpleType,jdftyp:DurationAndSeparators_,,,,,"",JDFTypes.xsd
DurationRangeList,global simpleType,jdftyp:DurationAndSeparators_,,,,,"",JDFTypes.xsd
DurationSpan,global complexType,,jdf:AbstractSpan,,,,"",JDFCore.xsd
DurationState,global complexType,,jdf:DevCapState,,,,"",JDFCapability.xsd
DurationState,global element,jdf:DurationState,,,,jdf:AbstractStates,"",JDFCapability.xsd
eAcknowledgeType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eActivation_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eActivation1_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eAllowedTransforms_,global simpleType,jdftyp:string,,,,,"",JDFTypes.xsd
eAlternateColorSpace_,global simpleType,jdftyp:NMTOKEN,,,,,"",JDFTypes.xsd
eApprovalRole_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eArtificialTextEffect_,global simpleType,jdftyp:NMTOKEN,,,,,"",JDFTypes.xsd
eAspectRatio_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eAutoRotatePages_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eAvailability_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBandOrdering_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBinding_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBindingEdge_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBindingOrder_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBlackGeneration_,global simpleType,jdftyp:NMTOKEN,,,,,"",JDFTypes.xsd
eBlockElementType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBlockType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBooleanStateList_,global simpleType,,,,,,"",JDFTypes.xsd
eBottleAxis_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBox_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eBundleType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eByteOrder_,global simpleType,jdftyp:string,,,,,"",JDFTypes.xsd
eCannotEmbedFontPolicy_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCenterAcross_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCenterReference_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eChannelType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCharacterProblem_,global simpleType,jdftyp:NMTOKEN,,,,,"",JDFTypes.xsd
eCoatings_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eColorSpace_,global simpleType,jdftyp:NMTOKEN,,,,,"",JDFTypes.xsd
eColorTransform_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eColorType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eColorType1_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCombinedMethod_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCompensation_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCompensation1_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eComponentGranularity_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eComponentType_,global simpleType,jdftyp:string,,,,,"",JDFTypes.xsd
eComponentTypeList_,global simpleType,,,,,,"",JDFTypes.xsd
eCompressionFilter_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCompressionType_,global simpleType,jdftyp:string,,,,,"",JDFTypes.xsd
eCompressionTypes_,global simpleType,,,,,,"",JDFTypes.xsd
eContext,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCostType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCoverType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCutMarkType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eCutType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDBSchemaType_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDeadLine_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDefaultPriority_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
eDeliveryTransfer_,global simpleType,xs:NMTOKEN,,,,,"",JDFTypes.xsd
